[
[ 101,2885411, -16,71314306, -1,44 ]
[ 95,9878779, -52,69571787, -0,62 ]
[ 213,9181141, 19,18727046, -0,05 ]
[ 219,9204081, -60,83514522, -0,01 ]
[ 279,2341082, 38,78299326, 0,03 ]
[ 79,17206466, 45,99902905, 0,08 ]
[ 78,63446385, -8,201639584, 0,18 ]
[ 114,827242, 5,227507577, 0,4 ]
[ 24,42813208, -57,23665985, 0,45 ]
[ 88,79287149, 7,407036532, 0,45 ]
[ 210,9560192, -60,37297887, 0,61 ]
[ 297,6945082, 8,867384731, 0,76 ]
[ 186,6497559, -63,09905675, 0,77 ]
[ 68,98000194, 16,50976158, 0,87 ]
[ 201,2983523, -11,16124494, 0,98 ]
[ 247,3519483, -26,43194598, 1,06 ]
[ 116,3306829, 28,02631022, 1,16 ]
[ 344,411773, -29,6218368, 1,17 ]
[ 191,9304935, -59,68873267, 1,25 ]
[ 310,3579728, 45,28033432, 1,25 ]
[ 219,9141246, -60,83948046, 1,35 ]
[ 152,0935804, 11,96719519, 1,36 ]
[ 104,6564441, -28,97208939, 1,5 ]
[ 113,6500197, 31,88863511, 1,58 ]
[ 187,791372, -57,11256917, 1,59 ]
[ 263,4021932, -37,10374869, 1,62 ]
[ 81,28278339, 6,349734571, 1,64 ]
[ 81,57290832, 28,60787362, 1,65 ]
[ 138,3010032, -69,71747241, 1,67 ]
[ 84,05338544, -1,201917241, 1,69 ]
[ 332,0578185, -46,96061595, 1,73 ]
[ 85,18968667, -1,942578517, 1,74 ]
[ 122,3831473, -47,33661168, 1,75 ]
[ 193,5068041, 55,95984299, 1,76 ]
[ 51,08061917, 49,86124305, 1,79 ]
[ 276,0431094, -34,38431461, 1,79 ]
[ 165,9326534, 61,75111903, 1,81 ]
[ 107,0978587, -26,39320762, 1,83 ]
[ 206,8856091, 49,31330297, 1,85 ]
[ 125,6286025, -59,50953781, 1,86 ]
[ 264,3296893, -42,99782041, 1,86 ]
[ 89,88237269, 44,94743488, 1,9 ]
[ 252,1661073, -69,02763509, 1,91 ]
[ 99,42792544, 16,39941401, 1,93 ]
[ 131,1758221, -54,70856805, 1,93 ]
[ 306,4118738, -56,73488065, 1,94 ]
[ 37,946143, 89,26413778, 1,97 ]
[ 95,67494722, -17,95591681, 1,98 ]
[ 141,896882, -8,658683072, 1,99 ]
[ 31,79285751, 23,46277748, 2,01 ]
[ 154,992341, 19,84186021, 2,01 ]
[ 10,89678447, -17,98668407, 2,04 ]
[ 283,8163194, -26,29659425, 2,05 ]
[ 211,6721859, -36,36869558, 2,06 ]
[ 2,096533852, 29,09082837, 2,07 ]
[ 17,43249023, 35,62083036, 2,07 ]
[ 86,93911657, -9,669601808, 2,07 ]
[ 222,6766478, 74,15547618, 2,07 ]
[ 340,6663955, -46,8845658, 2,07 ]
[ 263,7333536, 12,56057593, 2,08 ]
[ 47,04220893, 40,95565071, 2,09 ]
[ 30,97466207, 42,32984825, 2,1 ]
[ 177,2661596, 14,57233678, 2,14 ]
[ 14,17708782, 60,71674955, 2,15 ]
[ 190,3800212, -48,95988559, 2,2 ]
[ 120,8961257, -40,00318834, 2,21 ]
[ 139,2726183, -59,27526115, 2,21 ]
[ 233,6716228, 26,71491051, 2,22 ]
[ 136,9990715, -43,43262377, 2,23 ]
[ 200,9809153, 54,92541509, 2,23 ]
[ 305,5570834, 40,25668137, 2,23 ]
[ 10,1266135, 56,53740925, 2,24 ]
[ 269,1515743, 51,48895101, 2,24 ]
[ 83,00166551, -0,299093434, 2,25 ]
[ 2,292040304, 59,15021806, 2,28 ]
[ 204,9719697, -53,46636266, 2,29 ]
[ 240,0833822, -22,62162037, 2,29 ]
[ 252,5426873, -34,29260943, 2,29 ]
